Journey,Scenario,Recommended Error Message,Error Message Copy (English),Error Message Copy (Hindi),,,,Error Message Copy (Gujrati),,,,,,,Error Message Copy (Marathi),,,,,,,Error Message Copy (Bengali),,,,,,,Error Message Copy (Arabic),,,,,,
Login,Face not detected (Height <120 cm),We couldn't see your face. Please log in using your SuHi ID.,"Sorry, I am not able to scan your face. Don't Worry, lets try SUHI Id instead. ","??? ???? ????? ????? ???? ?? ?? ??? ???, ???? SUHI Id ?? ????? ???? ????",,,,"????? ????? ? ???. ??? ????? ????, ???? SUHI Id ?? ????? ????. ",,,,,,,????? ????? ??? ???? ????. ??? SUHI Id ?? ??????? ?????.,,,,,,,"??????, ????? ??? ??????? ??? ????? ?????? ???? ???? ???? ????? ?????? ??? ????",,,,,,,"?? ????? ?? ??? ????. ?? ???? ???? ???? ???????? SUHI Id.",,,,,,
Login,Face not detected (camera blocked/user turned away),Face not detected. Please stand in front of the screen and look at the camera.,"Sorry, I couldn't scan your face. Please face the camera, ensure nothing is blocking it, and try again.","??? ???? ???? ????? ???? ??? ?? ??? ????? ????? ????? ?? ???? ?????, ????? ???? ?? ??? ?? ????? ?? ??? ? ??, ?? ?????? ????? ?????",,,,"????? ????? ? ???. ???????? ??? ?????? ???? ???, ????? ???? ?? ??? ?? ???????? ??? ? ???, ??? ??? ????? ???.",,,,,,,"????? ????? ??? ???? ????. ????? ??????????? ???, ?????? ???? ?? ?????? ???????????? ??? ???, ??? ?????? ??????? ???.",,,,,,,"??????, ????? ??? ??????? ??? ??????? ??????? ??? ????????? ???? ?????, ?????? ????? ????????? ????? ??? ???? ?? ???, ??? ???? ?????? ?????",,,,,,,"??? ???? ?? ??? ??????? ?? ???? ??? ????. ?? ?????? ???? ???? ???????. ????? ????? ??? ???????? ??????? ??",,,,,,
Login,Face not detected + Height not detected,Stand straight in front of the kiosk so we can see you clearly.,"Sorry, something went wrong. Please stand with your feet aligned on the footprints, look directly at the camera, and try again.","??? ???? ????? ???? ?? ?? ??? ???, ????? ????? ?? ????? ?? ???? ???? ????, ????? ?? ???? ???? ?????, ?? ?????? ????? ?????											",,,,"???? ???? ?? ??. ???????? ??? ????? ????? ?? ???? ??? ???, ?????? ???? ????? ???, ??? ??? ????? ???.",,,,,,,"?? ???????? ????? ??? ??? ????. ????? ????????? ?????? ??? ??? ???, ??????????? ??? ???, ??? ?????? ??????? ???.",,,,,,,???? ???? ?????? ??????? ??????? ??? ?????? ??????? ??? ???? ???? ????????? ????????? ???? ?????? ????? ??? ???? ?????? ?????,,,,,,,"???????? ?????? ?????? ??? ????????? ?? ???? ??? ????. ?? ?????? ????? ?????. ????? ?????? ???? ?????? ??? ??????",,,,,,
Login,"Face, Height & Weight not detected",Step onto the kiosk and stand in front of the screen to begin.,Oops! I couldn't detect you. Please try again.,??? ???? ????? ???? ???? ????? ?????? ????? ?????,,,,??? ???? ???? ? ?????. ???????? ??? ??? ????? ???.,,,,,,,?? ???????? ???? ??? ????. ????? ?????? ??????? ???.,,,,,,,??! ???? ?????? ?????? ???? ??????? ??????? ??? ???? ?????? ?????,,,,,,,?? ????? ?? ?????? ????. ????? ???????? ??? ????.,,,,,,
Login,Face not detected + Weight not detected,Please stand on the kiosk and face the screen.,"Sorry, something went wrong. Please stand with your feet aligned, face the camera, and try again.","??? ???? ????? ???? ?? ?? ??? ???, ????? ????? ?? ????? ?? ???? ???? ????, ????? ?? ???? ???? ?????, ?? ?????? ????? ?????",,,,"???? ???? ?? ??. ???????? ??? ????? ????? ?? ???? ??? ???, ?????? ???? ????? ???, ??? ??? ????? ???.",,,,,,,"?? ???????? ????? ??? ??? ????. ????? ????????? ?????? ??? ??? ???, ??????????? ??? ???, ??? ?????? ??????? ???.",,,,,,,???? ???? ?????? ??????? ??????? ??? ?????? ??????? ??? ???? ???? ????????? ????????? ???? ?????? ????? ??? ???? ?????? ?????,,,,,,,"???????? ?????? ?????? ??? ????????? ?? ???? ??? ????. ?? ?????? ????? ?????. ????? ?????? ???? ?????? ??? ??????",,,,,,
Login,Identity confirmation rejected,Let's try another way. Please log in using your SuHi ID.,Let's try another way. Please log in using your SuHi ID.,??? ?????? ????? ???? ???? ????? ???? SUHI Id ?? ??? ?? ?????,,,,"????, ??? ?????? ????. ???? ????? ????? SUHI Id ??? ??? ?? ???.",,,,,,,"???, ?????? ??????? ?????. ????? ??????? SUHI Id ?? ??? ?? ????",,,,,,,"????, ???? ?????? ???? ??????? ??? ????? SUHI Id ????? ?? ?? ?????",,,,,,,???? ????? ??? ????. ????? ????? ?????? ???????? SUHI Id.,,,,,,
Login,Invalid SuHi ID,That SuHi ID wasn't found. Please check it and try again.,Invalid SUHI Id. Please contact your SUHI Kiosk Coordinator for assistance.,?? SUHI Id ??? ??? ????? ???? SUHI ??????? ??????????? ?? ??? ????,,,,???? SUHI Id ??. ???????? ??? ????? SUHI ?????? ????????????? ??? ??.,,,,,,,?? SUHI Id ?????? ???. ????? ??????? SUHI ?????? ????????????? ??? ????.,,,,,,,?? Suhi ID ?? ???? ???? ??? ????? Suhi ??????? ??-??????????? ??????? ????,,,,,,,?????? ??? ????????. ????? SUHI Id ??? ????. ????? ??????? ?? ???? ??? SUHI,,,,,,
Login,Student doesn't know SuHi ID,Please ask your teacher for your SuHi ID and try again.,Please ask your teacher for your SuHi ID and try again.,????? ???? SUHI Id ?? ??? ???? ???? ?? ????? ?? ??? ?? ????? ?????,,,,???? ????? ????? SUHI Id ???? ????? ???????? ???? ??? ??? ?????? ???.,,,,,,,????? ??????? SUHI Id ???? ??????? ?????????? ?????? ??? ?????? ??????? ????,,,,,,,"??????? ??? ????? SUHI Id-?? ???? ????? ??????? ???? ???????? ????, ????? ???? ?????? ?????",,,,,,,"????? ???? ????? ?? SUHI Id ????? ??? ?? ???? ??? ????.",,,,,,
Login,Session timed out (No activity),Session timed out. Tap Start to begin again.,"You have been logged out, tap start to begin again.","?? ??? ??? ?? ???? ???? ?????? ???? ???? ?? ???, 'Start' ??? ??????",,,,??? ??? ??? ?? ??? ??. ??? ??? ???? ???? 'Start' ??? ?????.,,,,,,,?????? ??? ??? ???? ????. ?????? ???? ?????????? 'Start' ??? ?????,,,,,,,???? ?? ??? ???? ?????? ???? ???? ???? Start ????? ??????,,,,,,,"?? ????? ?????. ???? ??????? ?? ????? ???? ??? ?? Start.",,,,,,
Height & Weight,Height & Weight not detected,Stand on the footprints and stay still.,Please make sure you are standing on the kiosk with your feet aligned with the footprints on the platform.,????? ??????? ?? ???? ???? ??? ?? ???? ??? ??????????? ?? ??? ????? ?? ????? ?? ?????,,,,???? ????? ??????? ?? ???? ??? ??? ??? ????? ?? ?????????? ?? ??????? ???? ????? ?? ????.,,,,,,,????? ???????? ??? ??? ??? ??? ????? ??? ???????????? ????????? ????????? ?????? ????.,,,,,,,??????? ??? ????????? ????????????? ??? ?????? ?????? ??????? ??? ???? ???? ????????? ??????,,,,,,,"?????? ??????? ???????? ??? ??????. ????? ?????? ???? ?????? ??? ?????? ???? ????? ???",,,,,,
